ModelThickMax,ModelThickMin,ModelThickDiff,ModelThickMedian,ModelThickMean,ModelThickStd,ModeVelCoeff
50,49,1,50,49.53359375,0.499065168897691,0.993
50,49,1,49,49.49140625,0.500121540153713,1.009
50,49,1,50,49.51171875,0.500058025366442,1.018
50,49,1,49,49.49921875,0.500194816424982,1.016
50,49,1,50,49.51328125,0.500018935333401,0.995
50,49,1,50,49.5109375,0.500075737031688,0.993
50,49,1,50,49.51328125,0.500018935333401,0.987
50,49,1,50,49.52578125,0.499530051822675,0.993
50,48,2,49,49.05234375,0.733160161439589,1.011
50,48,2,49,49.05390625,0.739418695220294,0.997
50,48,2,49,49.0484375,0.735026114751505,1.002
50,48,2,49,49.0359375,0.743145310883646,0.994
50,48,2,49,49.01015625,0.724241248510317,1.005
50,47,3,49,48.6796875,0.967280137269558,1.003
50,47,3,49,48.66484375,0.946256344851654,0.989
50,47,3,49,48.65078125,0.932808825811655,0.998
50,47,3,49,48.734375,0.97091700365717,0.997
50,46,4,49,48.4359375,1.14975160488341,1.012
50,46,4,48,48.290625,1.15421093951022,0.994
50,46,4,49,48.4265625,1.13550176107904,1.02
50,46,4,49,48.46875,1.13400423196897,1.019
50,46,4,49,48.41953125,1.15211730801973,1.01
50,45,5,49,48.3703125,1.28820713366825,1.017
50,45,5,48,48.3234375,1.27344222548254,1.016
50,45,5,48,48.16328125,1.35920520708133,1.019
50,44,6,48,48.0828125,1.51076974902142,1.02
50,44,6,48,47.97890625,1.54232201818541,0.981
50,44,6,48,47.97890625,1.54232201818541,1.012
50,44,6,48,48.171875,1.45083284700923,0.98
50,44,6,48,48.11015625,1.4151718867053,1.002
50,44,6,48,48.17265625,1.40223293634813,1.003
50,43,7,48,47.9609375,1.5673682954971,0.981
50,43,7,48,48.11328125,1.4965621847261,1.009
50,43,7,48,47.86875,1.64949585967555,0.982
50,43,7,48,47.953125,1.60072000512045,0.981
50,43,7,48,48.0421875,1.54315606125821,1.01
50,43,7,48,48.1484375,1.59205338836345,0.981
50,43,7,49,48.234375,1.48162777906063,0.982
50,43,7,48,47.9578125,1.6202688690384,0.993
50,43,7,48,47.94375,1.69485031547587,0.994
50,42,8,48,48.10390625,1.60267087200212,1
50,42,8,48,48.0796875,1.55882111863619,1.016
50,42,8,48,47.92109375,1.64215158275916,0.987
50,42,8,48,48.1421875,1.49278218481133,1.011
50,42,8,48,48.009375,1.61111451864273,0.989
50,41,9,48,47.97109375,1.7213942538788,1.002
50,41,9,48,48.178125,1.52061350834174,0.997
50,41,9,48,47.878125,1.69324359908677,0.99
50,41,9,48,47.72109375,1.87311134355535,1.009
50,41,9,48,48.0734375,1.56613318802299,1.02
50,41,9,48,47.88515625,1.69903573092876,0.984
50,41,9,48,47.865625,1.76378464624864,0.992
50,40,10,48,48.01640625,1.71883178247394,0.999
50,40,10,48,47.81640625,1.71773972547194,1.016
50,40,10,48,47.9671875,1.8405182232038,0.993
50,39,11,48,47.8296875,1.80063230033252,0.984
50,43,7,48,47.89296875,1.67638631759187,0.999
50,39,11,48,48.021875,1.73213826557557,0.984
50,40,10,48,48.0609375,1.5943721573809,1
50,39,11,48,48.096875,1.67116639121152,0.992
50,40,10,48,47.71875,1.77700321389829,1.003
50,39,11,48,48.04375,1.78639415182549,1.016
50,41,9,48,47.90546875,1.67293726483216,0.986
50,39,11,48,47.94921875,1.80990654550982,0.981
50,42,8,48,48,1.65896055326193,0.995
50,40,10,48,47.86171875,1.75169396819465,1
50,43,7,48,47.89296875,1.67638631759187,1.003
50,41,9,48,48.1671875,1.55388536083612,1.004
51,50,1,50,50.4921875,0.500134364276187,0.98
51,50,1,50,50.4953125,0.500173445288117,0.989
51,50,1,51,50.5328125,0.499117183888255,0.992
51,50,1,51,50.521875,0.499716495074526,1
51,50,1,51,50.5171875,0.499899814044087,1.005
51,50,1,50,50.48515625,0.499974955393097,0.98
51,50,1,51,50.5140625,0.499997556678941,0.988
51,50,1,51,50.525,0.499569791464792,1.008
51,50,1,51,50.50078125,0.500194816424982,0.995
51,50,1,51,50.50078125,0.500194816424982,1.011
51,50,1,50,50.49921875,0.500194816424982,1.017
51,49,2,50,50.053125,0.734701941554642,0.998
51,49,2,50,50.01796875,0.723008828457957,0.992
51,49,2,50,50.07890625,0.737168297147263,1.005
51,49,2,50,50.0109375,0.729071766786973,0.984
51,49,2,50,49.97265625,0.72595302477167,0.983
51,49,2,50,50.0125,0.730118287030998,1.01
51,49,2,50,50.01484375,0.72199768947302,0.986
51,49,2,50,50.0515625,0.731614297333336,1.01
51,49,2,50,50.00859375,0.732846831940496,1.008
51,49,2,50,50.05703125,0.73387631642586,0.985
51,49,2,50,50.0203125,0.728870662954057,0.999
51,48,3,50,49.68984375,0.944871333248936,1.002
51,48,3,50,49.70625,0.950515271149308,0.992
51,47,4,49,49.39296875,1.17350764235657,0.996
51,47,4,49,49.33359375,1.17856655779687,0.983
51,47,4,50,49.52890625,1.13061403285217,0.984
51,47,4,49,49.3796875,1.17021675417813,0.996
51,47,4,50,49.53203125,1.12289651102506,0.98
51,47,4,50,49.53203125,1.12289651102506,0.981
51,47,4,49,49.38671875,1.1581624585923,1.009
51,47,4,50,49.465625,1.15981971988869,0.986
51,47,4,50,49.39140625,1.15387827829371,0.986
51,46,5,49,49.11484375,1.36759033981979,0.985
51,46,5,49,49.2375,1.351395768769,1.015
51,46,5,50,49.32890625,1.29729690366349,1.016
51,46,5,49,49.26015625,1.31817391185089,0.998
51,46,5,49,49.1328125,1.38782314031859,0.996
51,46,5,49,49.16796875,1.34184086928779,1.02
51,46,5,50,49.31328125,1.30296294891569,1.02
51,45,6,49,48.89296875,1.55492023903654,0.988
51,45,6,50,49.21796875,1.49175128850727,1.006
51,45,6,49,49.1140625,1.49780837416647,0.98
51,45,6,49,48.97109375,1.54877198415816,1.007
51,45,6,49,49.0953125,1.51416865125936,0.982
51,45,6,49,49.18984375,1.47294282637891,1.006
51,45,6,50,49.27578125,1.42018543722788,0.988
51,45,6,49,48.9796875,1.51445262433932,0.991
51,45,6,49,49.103125,1.44872959364282,1.013
51,45,6,50,49.24609375,1.46885318744875,0.987
51,44,7,49,49.12265625,1.49320665716202,0.996
51,44,7,49,48.81640625,1.67813876122196,0.997
51,44,7,49,49.025,1.60072305788765,0.996
51,44,7,49,49.11328125,1.56450418765998,1.005
51,44,7,49,49.08359375,1.61066992233354,1.007
51,43,8,49,48.6515625,1.76327687229815,1.01
51,43,8,49,48.7953125,1.77383728945926,0.99
51,43,8,49,49.07109375,1.55798291558229,0.987
51,43,8,49,49.07109375,1.55798291558229,0.997
51,43,8,49,48.9671875,1.7432146741904,0.995
51,43,8,49,49.009375,1.66598859023676,0.994
51,43,8,49,48.828125,1.74446236545472,0.992
51,43,8,50,49.184375,1.58631942059091,1.013
51,42,9,49,49.1875,1.48881679516654,0.999
51,42,9,49,49.1203125,1.65080402496803,0.996
51,42,9,49,49.015625,1.72043040144715,1.016
51,42,9,50,49.21484375,1.56583888762841,1.012
51,42,9,49,48.93984375,1.73190814985179,0.985
51,42,9,49,49.046875,1.57461972772569,0.995
51,42,9,50,49.2140625,1.67195205398857,0.986
51,42,9,49,48.7625,1.84501102335721,1.004
51,42,9,49,48.99765625,1.74419465292574,1.003
51,42,9,49,48.74140625,1.89427462723065,0.983
51,42,9,49,49,1.56785536503233,1.003
51,42,9,50,49.1828125,1.65924846044204,0.985
51,42,9,49,48.7578125,1.74999650954639,0.989
51,41,10,50,49.2015625,1.69946799268784,0.984
51,41,10,49,48.75,1.82631275950846,0.983
51,41,10,49,49.04140625,1.54697249507165,0.986
51,41,10,49,48.98515625,1.68531299221941,1.013
51,41,10,49,48.76953125,1.98568207977289,1.013
51,41,10,49,48.96875,1.62003436290161,1.011
51,41,10,49,48.63671875,1.84549283359928,0.991
51,41,10,49,49.1546875,1.55417465381915,0.999
51,41,10,49,48.9921875,1.73856632923715,1.002
51,40,11,49,48.746875,1.87447933870799,0.981
51,42,9,49,48.96171875,1.70340325740838,1.001
51,40,11,49,49.02734375,1.73454145661007,1.01
