ModelThickMax,ModelThickMin,ModelThickDiff,ModelThickMedian,ModelThickMean,ModelThickStd,ModeVelCoeff
61,61,0,61,61,0,0.98
61,61,0,61,61,0,0.99
61,61,0,61,61,0,1
61,61,0,61,61,0,1.01
61,61,0,61,61,0,1.02
61,59,2,60,60.059375,0.727805563480379,0.98
61,59,2,60,60.059375,0.727805563480379,0.99
61,59,2,60,60.059375,0.727805563480379,1
61,59,2,60,60.059375,0.727805563480379,1.01
61,59,2,60,60.059375,0.727805563480379,1.02
61,59,2,60,60.01640625,0.733779759557032,0.98
61,59,2,60,60.01640625,0.733779759557032,0.99
61,59,2,60,60.01640625,0.733779759557032,1
61,59,2,60,60.01640625,0.733779759557032,1.01
61,59,2,60,60.01640625,0.733779759557032,1.02
61,59,2,60,60.04453125,0.741098712455241,0.98
61,59,2,60,60.04453125,0.741098712455241,0.99
61,59,2,60,60.04453125,0.741098712455241,1
61,59,2,60,60.04453125,0.741098712455241,1.01
61,59,2,60,60.04453125,0.741098712455241,1.02
61,57,4,60,59.42734375,1.1526367666497,0.98
61,57,4,60,59.42734375,1.1526367666497,0.99
61,57,4,60,59.42734375,1.1526367666497,1
61,57,4,60,59.42734375,1.1526367666497,1.01
61,57,4,60,59.42734375,1.1526367666497,1.02
61,57,4,59,59.38046875,1.16895993638672,0.98
61,57,4,59,59.38046875,1.16895993638672,0.99
61,57,4,59,59.38046875,1.16895993638672,1
61,57,4,59,59.38046875,1.16895993638672,1.01
61,57,4,59,59.38046875,1.16895993638672,1.02
61,57,4,60,59.43125,1.16501987352473,0.98
61,57,4,60,59.43125,1.16501987352473,0.99
61,57,4,60,59.43125,1.16501987352473,1
61,57,4,60,59.43125,1.16501987352473,1.01
61,57,4,60,59.43125,1.16501987352473,1.02
61,55,6,59,59.1296875,1.45360135522839,0.98
61,55,6,59,59.1296875,1.45360135522839,0.99
61,55,6,59,59.1296875,1.45360135522839,1
61,55,6,59,59.1296875,1.45360135522839,1.01
